city,team,nickname,year,city-year,team-year,nickname-year,team-revenue,team-value,city-pop,team-wins,real-gdp-delta,sp-return,city-franchises,team-total-gms,team-total-attend,team-salary,team-champs-5yr,city-work-force,city-employed,city-unemployed,city-returns,city-exempt,city-agi,city-salary,team-age,team-off-rating,team-def-rating,team-ticket,team-fci,analysis-year,league-tv-deal
Atlanta,ATL,Hawks,2017,Atlanta-2017,ATL-2017,Hawks-2017,169,885,486290,43,2.2,19.42,4,41,654306,95471579,0,394688,375712,18976,#N/A,#N/A,#N/A,#N/A,49,104.5,105.2,,,13,2600
Atlanta,ATL,Hawks,2016,Atlanta-2016,ATL-2016,Hawks-2016,142,825,472522,48,1.6,9.54,3,41,690150,72902950,0,383126,362524,20602,343770,644140,22041682,16693427,48,104.6,100.7,36.82,255.28,12,930
Atlanta,ATL,Hawks,2015,Atlanta-2015,ATL-2015,Hawks-2015,133,825,463878,60,2.9,-0.73,3,41,713909,58470278,0,373115,350620,22495,348890,663340,21683722,16313145,47,108.2,102.2,35.26,245.39,11,930
Atlanta,ATL,Hawks,2014,Atlanta-2014,ATL-2014,Hawks-2014,119,425,456002,38,2.5,11.39,3,41,587927,58936376,0,368717,342134,26583,345390,661900,20710897,15402556,46,104.9,105.6,35.26,240.04,10,930
Atlanta,ATL,Hawks,2013,Atlanta-2013,ATL-2013,Hawks-2013,99,316,447841,44,1.8,29.6,3,41,620146,66768365,0,368650,337594,31056,346690,667520,19279377,14805296,45,103.7,103.4,34.75,233,9,930
Atlanta,ATL,Hawks,2012,Atlanta-2012,ATL-2012,Hawks-2012,109,270,443775,40,2.2,13.41,3,33,501593,73669912,0,370150,335318,34832,347530,670430,19202759,14489947,44,104.2,100.3,36.13,238.52,8,930
Atlanta,ATL,Hawks,2011,Atlanta-2011,ATL-2011,Hawks-2011,105,295,431740,44,1.6,0,3,41,641596,71469843,0,366603,327936,38667,371595,700094,18654261,14522715,43,105.1,105.8,36.13,235.02,7,930
Atlanta,ATL,Hawks,2010,Atlanta-2010,ATL-2010,Hawks-2010,103,306,420003,53,2.6,12.78,4,41,678375,65883642,0,363001,323687,39314,358284,685513,17674913,300654,42,110.9,106,35.74,295.13,6,930
Atlanta,ATL,Hawks,2009,Atlanta-2009,ATL-2009,Hawks-2009,103,306,540922,47,-2.5,23.45,4,41,686688,68168841,0,381335,343126,38209,294050,592379,14536285,11945248,41,108.3,106.6,36.9,235.59,5,930
Atlanta,ATL,Hawks,2008,Atlanta-2008,ATL-2008,Hawks-2008,102,286,537385,37,-0.1,-38.49,4,41,667518,55501133,0,392969,367914,25055,291658,583751,15264045,12389837,40,105.5,107.3,38,244.48,4,930
Boston,BOS,Celtics,2008,Boston-2008,BOS-2008,Celtics-2008,149,391,636748,66,-0.1,-38.49,5,41,763584,74509455,1,371840,351623,20217,309322,523321,18174129,14956559,62,108.8,98.1,65.43,358.72,4,930
Atlanta,ATL,Hawks,2006,Atlanta-2006,ATL-2006,Hawks-2006,92,262,498208,26,2.9,13.62,4,41,617942,42944553,0,386291,366471,19820,279122,557003,14633171,11463988,38,104.8,110.1,41.43,258.19,2,765
Atlanta,ATL,Hawks,2005,Atlanta-2005,ATL-2005,Hawks-2005,87,232,483108,13,3.5,3,4,41,586390,41059616,0,368282,345752,22530,272075,546520,13764937,10942466,37,98.8,109,37.68,243.2,1,765
Atlanta,ATL,Hawks,2004,Atlanta-2004,ATL-2004,Hawks-2004,78,202,468839,28,3.8,8.99,4,41,565728,64497340,0,363403,343516,19887,269543,539985,13228564,10671677,36,99,103.9,37.5,242.47,0,765
Boston,BOS,Celtics,2017,Boston-2017,BOS-2017,Celtics-2017,200,2200,685094,53,2.2,19.42,5,41,760690,87272327,0,433072,418378,14694,#N/A,#N/A,#N/A,#N/A,71,110.6,108,,,13,2600
Boston,BOS,Celtics,2016,Boston-2016,BOS-2016,Celtics-2016,181,2100,673184,48,1.6,9.54,5,41,749076,77139134,0,426576,411431,15145,381910,595650,34144595,22842787,70,105.8,102.5,66.49,419.96,12,930
Boston,BOS,Celtics,2015,Boston-2015,BOS-2015,Celtics-2015,173,1700,667137,40,2.9,-0.73,5,41,721350,62442955,0,420860,402312,18548,383100,602600,34417431,22432245,69,103.8,103.5,70.79,444.16,11,930
Boston,BOS,Celtics,2014,Boston-2014,BOS-2014,Celtics-2014,169,875,655884,25,2.5,11.39,5,41,742400,70676163,0,415222,393333,21889,373450,593280,33079080,20641044,68,101.9,106.5,72.64,434.96,10,930
Boston,BOS,Celtics,2013,Boston-2013,BOS-2013,Celtics-2013,143,730,645966,41,1.8,29.6,5,40,744960,73021989,0,406849,381626,25223,362010,579080,28516095,18808850,67,102.1,102.6,72.96,420.84,9,930
Boston,BOS,Celtics,2012,Boston-2012,BOS-2012,Celtics-2012,146,482,636479,39,2.2,13.41,5,33,614592,79820530,1,401379,376767,24612,354820,568270,28062626,17861163,66,100.1,97.5,68.55,392.6,8,930
Boston,BOS,Celtics,2011,Boston-2011,BOS-2011,Celtics-2011,151,452,628335,56,1.6,0,5,41,763584,82045867,1,396271,369972,26299,355707,571136,24697803,17198138,65,105.5,99.8,68.55,392.7,7,930
Boston,BOS,Celtics,2010,Boston-2010,BOS-2010,Celtics-2010,144,433,617594,50,2.6,12.78,5,41,744961,83552174,1,393952,363851,30101,345838,560589,24115307,299103,64,106.9,103.2,68.55,392.7,6,930
