imp_city.pop,imp_city.franchises,imp_city.returns,imp_city.exempt,imp_city.agi,imp_city.salary,imp_team.age,imp_analysis.year,team.avg.attend,city.umemploy.rate,trans_team.champs.5yrN,trans_team.champs.5yrY,imp_league.tv.deal765,imp_league.tv.deal930,imp_league.tv.deal2600,imp_team.wins,imp_team.salary,imp_team.superstar,imp_FG,imp_FGA,imp_FG.pct,imp_X3P,imp_X3PA,imp_X3P.pct,imp_X2P,imp_X2PA,imp_X2P.pct,imp_FT,imp_FTA,imp_FT.pct,imp_ORB,imp_DRB,imp_TRB,imp_AST,imp_STL,imp_BLK,imp_TOV,imp_PF,imp_PTS
746.4305042,5,1148.559671,2099.414807,145.9279697,95.94143885,0,14,17.765,0.03,1,0,0,0,1,60,67.21406,1,3560,7580,0.4697,374,1075,0.3479,3186,6504,0.4899,1850,2498,0.740592474,1254,3010,4264,1983,677,557,1379,1903,9345
757.5153803,5,1168.406184,2129.950265,154.3589105,100.9337653,1,15,17.765,0.03,1,0,0,0,1,63,70.574763,1,3551,7514,0.4726,380,1080,0.3519,3171,6435,0.4928,1785,2404,0.742512479,1200,3008,4207,2007,670,545,1338,1852,9268
768.7648725,5,1188.595633,2160.929854,163.2769461,106.1858683,2,16,17.765,0.03,1,0,0,0,1,63,74.10350115,0,3516,7456,0.4716,397,1120,0.3545,3119,6335,0.4923,1795,2402,0.747293922,1180,2995,4175,1966,667,535,1327,1852,9225
780.1814255,5,1209.133946,2192.360033,172.7102183,111.7112651,3,17,17.765,0.03,1,0,0,0,1,62,77.80867621,1,3470,7382,0.4701,388,1109,0.3499,3082,6273,0.4913,1749,2337,0.748395379,1190,3048,4238,1994,658,537,1304,1840,9077
791.7675202,5,1230.027151,2224.247355,182.6884948,117.5241768,4,18,17.765,0.03,1,0,0,0,1,57,81.69911002,1,3427,7305,0.4691,405,1150,0.3522,3022,6155,0.491,1678,2242,0.748438894,1168,3080,4249,1967,652,515,1298,1852,8936
803.5256743,5,1251.281379,2256.598471,193.2432629,123.6395641,5,19,17.765,0.03,1,0,0,0,1,58,85.78406552,0,3322,7100,0.4679,439,1226,0.3581,2883,5873,0.4909,1663,2206,0.753853128,1114,3074,4188,2054,647,505,1286,1789,8746
815.458443,5,1272.902869,2289.420126,204.4078293,130.0731666,6,20,17.765,0.03,1,0,0,0,1,54,90.07326879,1,3344,7175,0.4661,455,1278,0.356,2889,5897,0.4899,1610,2135,0.754098361,1086,3053,4139,1939,639,508,1230,1811,8753
827.5684195,5,1294.897967,2322.719163,216.2174248,136.8415424,7,21,17.765,0.03,1,0,0,0,1,56,94.57693223,0,3233,6982,0.463,459,1320,0.3477,2773,5662,0.4898,1568,2083,0.752760442,1025,3071,4096,2025,640,475,1212,1793,8492
839.8582353,5,1317.273129,2356.502527,228.7093159,143.9621116,8,22,17.765,0.03,1,0,0,0,1,51,99.30577885,0,3179,6799,0.4676,454,1275,0.3561,2725,5524,0.4933,1510,2033,0.742744712,1097,3156,4253,1929,633,497,1205,1820,8322
852.3305612,5,1340.034922,2390.77726,241.9229219,151.4532007,9,23,17.765,0.03,1,0,0,0,1,48,104.2710678,2,3097,6769,0.4575,481,1399,0.3438,2616,5371,0.4871,1538,2054,0.748782863,1073,3174,4247,1913,651,501,1183,1752,8214
