team-year,W.rank,L.rank,Finish.rank,Age.rank,Ht.rank,Wt.rank,G.rank,MP.rank,FG.rank,FGA.rank,FG%.rank,3P.rank,3PA.rank,3P%.rank,2P.rank,2PA.rank,2P%.rank,FT.rank,FTA.rank,FT%.rank,ORB.rank,DRB.rank,TRB.rank,AST.rank,STL.rank,BLK.rank,TOV.rank,PF.rank,PTS.rank
ATL-2019,3,7,4,20,16,18,10,15,18,20,16,10,8,20,22,23,12,22,16,24,27,17,22,12,9,7,30,19,19
ATL-2018,24,58,5,24,16,30,82,27,28,20,25,9,7,15,26,24,22,22,23,7,22,23,25,8,12,23,27,14,25
ATL-2017,43,39,2,6,21,14,82,4,23,22,18,20,16,23,18,17,14,13,5,28,14,10,9,10,7,14,28,6,22
ATL-2016,48,34,2,6,24,21,82,11,9,15,11,6,7,15,19,24,7,29,30,8,30,13,24,2,3,5,22,7,12
ATL-2015,60,22,1,10,25,15,82,26,10,27,4,5,7,2,26,28,4,19,24,5,30,22,28,2,5,15,16,1,10
ATL-2014,38,44,4,9,28,8,82,15,18,24,13,5,2,13,27,27,8,18,22,6,29,18,28,2,9,26,24,7,15
ATL-2013,44,38,2,10,22,25,82,7,12,21,7,5,5,7,22,26,8,28,27,26,27,11,23,2,14,22,21,3,14
ATL-2012,40,26,2,6,8,22,66,1,14,19,11,8,10,5,20,23,10,23,25,23,28,11,23,8,10,23,5,6,17
ATL-2011,44,38,3,8,7,13,82,28,23,25,12,17,16,18,21,23,12,29,29,6,29,20,28,12,29,28,9,1,26
ATL-2010,53,29,2,17,3,11,82,10,6,12,11,14,15,9,8,11,11,21,23,15,6,23,17,12,15,14,1,8,13
ATL-2009,47,35,2,19,14,8,82,29,24,25,11,8,7,16,25,26,11,15,9,28,20,21,23,23,14,20,7,5,19
ATL-2008,37,45,3,29,4,8,82,5,22,21,16,27,28,18,8,6,21,5,7,7,7,21,11,12,14,4,24,11,15
ATL-2007,30,52,5,29,7,18,82,8,30,25,28,28,27,30,19,9,26,9,10,14,9,28,22,26,9,5,22,27,30
ATL-2006,26,56,5,30,2,8,82,9,18,14,16,20,20,11,11,8,20,13,10,14,2,29,20,20,15,15,27,29,16
ATL-2005,13,69,5,22,7,9,82,11,17,10,21,27,23,30,9,4,23,27,25,28,3,25,17,25,13,21,28,28,28
ATL-2004,28,54,7,20,20,24,82,4,17,16,20,15,14,23,19,18,18,12,17,6,16,10,12,22,17,12,26,23,15
ATL-2003,35,47,5,16,26,22,82,5,20,25,12,16,18,13,20,22,11,9,15,3,22,5,11,20,20,6,25,15,18
ATL-2002,33,49,6,25,12,27,82,20,19,17,19,13,14,14,22,17,18,13,15,9,19,17,22,26,10,27,26,10,19
ATL-2001,25,57,7,25,8,24,82,27,20,12,22,20,24,10,16,6,25,27,27,13,9,16,12,28,16,21,28,14,26
ATL-2000,28,54,7,15,6,7,82,7,16,13,24,27,27,29,6,5,22,22,21,19,3,9,3,28,29,9,16,4,25
ATL-1999,31,19,2,6,6,8,50,13,28,23,27,20,17,25,28,20,27,3,4,15,9,9,5,29,27,13,9,3,28
ATL-1998,50,32,4,8,4,13,82,7,19,23,11,13,13,21,19,21,12,4,5,7,9,10,6,26,17,4,9,4,15
ATL-1997,56,26,2,9,5,9,82,18,28,22,20,3,3,15,28,28,14,19,24,4,16,14,13,28,9,11,7,1,23
ATL-1996,46,36,4,8,25,27,82,24,20,9,25,7,5,19,23,22,21,20,21,10,4,28,16,29,2,27,9,4,18
ATL-1995,42,40,5,10,18,16,82,9,21,15,23,5,4,22,26,24,20,27,26,20,9,19,15,23,6,12,4,5,24
ATL-1994,57,25,1,4,7,14,82,13,10,10,17,13,12,20,13,9,16,17,21,6,5,9,5,12,2,11,9,2,11
ATL-1993,43,39,4,14,12,15,82,9,9,4,17,3,2,7,19,18,16,19,18,19,3,18,7,11,4,26,17,10,9
ATL-1992,38,44,5,16,2,5,82,2,7,3,16,13,11,20,6,6,16,22,19,26,5,7,3,8,5,25,12,10,11
ATL-1991,43,39,4,4,25,27,82,23,13,10,20,4,4,10,22,17,17,3,3,4,6,14,11,22,10,22,7,7,8
ATL-1990,41,41,6,6,22,27,82,22,14,18,8,20,20,19,10,11,10,6,5,12,5,26,18,25,13,20,13,11,11
ATL-1989,52,30,3,4,17,24,82,10,16,12,16,20,19,21,11,10,16,1,2,3,3,19,8,21,7,8,7,8,9
ATL-1988,50,32,3,12,14,18,82,9,13,14,10,18,20,14,10,10,10,8,9,12,8,12,9,13,19,2,2,19,13
ATL-1987,57,25,1,16,5,15,82,21,16,18,9,8,8,9,17,18,9,3,3,15,2,6,2,14,14,7,6,19,12
ATL-1986,50,32,2,22,11,13,82,8,17,22,8,21,21,22,16,16,9,6,3,19,6,14,8,16,12,9,14,18,17
ATL-1985,34,48,5,18,8,16,82,2,20,18,15,10,11,4,22,18,17,15,12,16,13,15,14,17,15,3,12,13,20
